Rating,Title,Description,Cleaned_Description
4.0,Pretty good,After 1 day it's buttery smooth just love it and also folax ai and infinix ai is also awesomeREAD MORE,1 day buttery smooth love also folax ai infinix ai also awesome
5.0,Super!,Overall specs are excellent. But front camera improvement should be done. Thanks Infinix for providing budget friendly smartphone...🙂READ MORE,overall spec excellent. front camera improvement done. thanks infinix providing budget friendly smartphone
5.0,Wonderful,"Very good performance, display quality is very good, camera is also very good, very good mobile at this priceREAD MORE","good performance, display quality good, camera also good, good mobile price"
5.0,Terrific,Gaming normal and display is very good 👍👍😊😊READ MORE,gaming normal display good
5.0,Great product,Overall good but need to improve on camera and performance.READ MORE,overall good need improve camera performance
5.0,Excellent,Best phone under 18k. All rounder.READ MORE,best phone 18k. rounder
5.0,Mind-blowing purchase,"Excellent phone. Performance, Battery back-up, RAM management, XOS 15 everything is pretty good.Camera is above average and can take good pictures. Not excellent.Best phone for daily use and easily recommendable for anyone who like to buy best budget phone under 18k with best performance.Go for it..READ MORE","excellent phone. performance, battery backup, ram management, xos 15 everything pretty good.camera average take good pictures. excellent.best phone daily use easily recommendable anyone like buy best budget phone 18k best performance.go"
4.0,Worth the money,Product is best and every thing is good but there is no screen guard given inside the box. Please provide screen guard as this is the new modelREAD MORE,product best every thing good screen guard given inside box. please provide screen guard new model
4.0,Wonderful,Amazing phone all features great I am happyREAD MORE,amazing phone feature great happy
4.0,Nice,"Camera -very good better than other phones in this segmentDisplay -very good  smooth display Battery -is not that good but if you only use phone for social media and watching movies than it will last Charging speed is good but sometimes it's slow I don't know why but it' charge my phone under 50 to 55 minutes Performance - if you want this phone to game  it's good for casual games  no lag in bgmi, free fire, or other high end ghraphic games Over heat - first two days Or so my phon...READ MORE","camera good better phone segmentdisplay good smooth display battery good use phone social medium watching movie last charging speed good sometimes slow dont know charge phone 50 55 minute performance want phone game good casual game lag bgmi, free fire, high end ghraphic game heat first two day phon"
5.0,Brilliant,Very slim and comfortable to handREAD MORE,slim comfortable hand
5.0,Highly recommended,Barry good phone 😋📱READ MORE,barry good phone
5.0,Excellent,This phone is really awesomePros:Camera DesignPerformanceCons:Lite warmREAD MORE,phone really awesomeproscamera designperformanceconslite warm
5.0,Simply awesome,It will be a good phone for the person who knows that there will be no other phones delivering this quality at this price range but some people will not like this because of lack of knowledgeREAD MORE,good phone person know phone delivering quality price range people like lack knowledge
5.0,Terrific,One of the best budget phone go for it ..dont rely on negative commentsREAD MORE,one best budget phone go ..dont rely negative comment
5.0,Mind-blowing purchase,Everything is awesome about this phone except it's battery life It charges fast but doesn't last that longExcept that everything's excellent Go for itREAD MORE,everything awesome phone except battery life charge fast doesnt last longexcept everythings excellent go
5.0,Highly recommended,It looking like a wow phone 📱 2025 model is fire 🔥READ MORE,looking like wow phone 2025 model fire
5.0,Mind-blowing purchase,"Superb performance, design for unbelievable price. Equalizer is superb functionality provided, AOD display, on screen fingerprint works like charmREAD MORE","superb performance, design unbelievable price. equalizer superb functionality provided, aod display, screen fingerprint work like charm"
5.0,Terrific purchase,"Perfect phone for this budget.Best in design , Very Thin , comfortable to hold.Light weight.Camera quality GoodI can say we will get 100% Quality for this Budget.READ MORE","perfect phone budget.best design , thin , comfortable hold.light weight.camera quality goodi say get 100 quality budget"
5.0,Just wow!,One of the best mobile for middle class people Mind blowing UISmooth Camera 10/10Battery 8/10Performance 9/10Speaker 9/10READ MORE,one best mobile middle class people mind blowing uismooth camera 1010battery 810performance 910speaker 910
5.0,Worth every penny,Veri good infinixREAD MORE,veri good infinix
5.0,Terrific purchase,Excellent 👌👍READ MORE,excellent
5.0,Highly recommended,"Best Phone in this price range, Front Camera isREAD MORE","best phone price range, front camera"
5.0,Best in the market!,Nice phoneREAD MORE,nice phone
3.0,Decent product,Good camera qualityREAD MORE,good camera quality
5.0,Just wow!,Nice phone Design perfect Looking awesome 🥰READ MORE,nice phone design perfect looking awesome
5.0,Worth every penny,Just go for it.Amazing one.Beautiful camera with super fast processorREAD MORE,go it.amazing one.beautiful camera super fast processor
5.0,Just wow!,Awesome 🔥🔥☺️READ MORE,awesome
5.0,Mind-blowing purchase,High quality camera😍READ MORE,high quality camera
4.0,Good choice,Very niceREAD MORE,nice
5.0,Just wow!,Camera Quality Is Improved Loving ItREAD MORE,camera quality improved loving
5.0,Awesome,Switch from OnePlus to iPhone I am stunned with camera performance. Everything is perfect on  iPhone 15.READ MORE,switch oneplus iphone stunned camera performance. everything perfect iphone 15
5.0,Worth every penny,Awesome photography experience. Battery backup is good . Display is much better than 14 version.READ MORE,awesome photography experience. battery backup good . display much better 14 version
5.0,Fabulous!,"So beautiful, so elegant, just a vowww😍❤️READ MORE","beautiful, elegant, vowww"
5.0,Excellent,"Awesome product very happy to hold this. Better In hand feel,matte finish. Good camera, Brighter screen with Dynamic Island, USB-C, great battery life.60Hz display is a dealbreaker for some.Its not much noticeable.Thank u Flipkart for the best deal and quick delivery.READ MORE","awesome product happy hold this. better hand feel,matte finish. good camera, brighter screen dynamic island, usbc, great battery life.60hz display dealbreaker some.its much noticeable.thank u flipkart best deal quick delivery"
4.0,Worth the money,Best mobile phoneCamera quality is very nice Battery backup is very good Sound quality is amazing.READ MORE,best mobile phonecamera quality nice battery backup good sound quality amazing
5.0,Fabulous!,"Extremely Happy with my 15pro mobile,,😊thanq seller n Flipkart for the fast deliveryREAD MORE","extremely happy 15pro mobile,,thanq seller n flipkart fast delivery"
5.0,Terrific purchase,Superb performance thnx Flipkart for best purchase experience ever geniun productREAD MORE,superb performance thnx flipkart best purchase experience ever geniun product
5.0,Super!,"Out of 10 -Camera : 10/10Battery : 7/10Display : 10/10Design : 10/10Performance : 10/10NO HEATING ISSUE TILL NOW. I have used hotspot while charging, Gaming while charging.CAMERA is the superb upgrade this time. But if you own iphone 14 pro models then no need to upgrade. If below 14 series then definitely a good upgrade.BATTERY is also good but not up to the mark as expected in a pro model.DISPLAY looks absolutely stunning with the notch. Very smooth.Very light DESIGN and feel...READ MORE","10 camera 1010battery 710display 1010design 1010performance 1010no heating issue till now. used hotspot charging, gaming charging.camera superb upgrade time. iphone 14 pro model need upgrade. 14 series definitely good upgrade.battery also good mark expected pro model.display look absolutely stunning notch. smooth.very light design feel"
5.0,Must buy!,Superb quality. so smooth and excellent performance.Light weight.Excellent camera quality.READ MORE,superb quality. smooth excellent performance.light weight.excellent camera quality
5.0,Awesome,Mind blowing experience with this phone. Beast processor. No heating issue and ultimate camera. All the above the best part is the color.READ MORE,mind blowing experience phone. beast processor. heating issue ultimate camera. best part color
5.0,Super!,Best performance ultimate camera and display 👌READ MORE,best performance ultimate camera display
5.0,Highly recommended,Awesome CamraREAD MORE,awesome camra
5.0,Perfect product!,"Nice phone,Nice looking,Nice camera quality,READ MORE","nice phone,nice looking,nice camera quality,"
4.0,Simply awesome,Go for it without any hesitation.READ MORE,go without hesitation
4.0,Nice product,I love this productMy 1st iPhone 🥰Thank you Flipkart ❤️READ MORE,love productmy 1st iphone thank flipkart
5.0,Classy product,Super fully satisfiedREAD MORE,super fully satisfied
4.0,Pretty good,"Value of money mobile, good camera, very good batteryREAD MORE","value money mobile, good camera, good battery"
5.0,Simply awesome,Everything is good but Motorola should also launch mobiles in same range without curve displayREAD MORE,everything good motorola also launch mobile range without curve display
5.0,Terrific purchase,"One of the best phones in this price rangePros-Design- It has got a very sleek design with great looks and is light weightDisplay- Curved screen is very good with vibrant colours and crystal clear displayBattery- It has fast charging with good battery backup. Gets charged in 30-60 mins and lasts a day on regular usePerformance - Performance is good, there is some lag on heavy usageCons-Performance- There is a very slight lag on very heavy usage. Could be better in 12 gb RAM as I am us...READ MORE","one best phone price rangeprosdesign got sleek design great look light weightdisplay curved screen good vibrant colour crystal clear displaybattery fast charging good battery backup. get charged 3060 min last day regular useperformance performance good, lag heavy usageconsperformance slight lag heavy usage. could better 12 gb ram u"
4.0,Pretty good without Photo App,"Phone is good but there is less one gallery app in the phone, its provide only google photo while no default photo/video gallery, Also phone have no cover for safety purposeREAD MORE","phone good less one gallery app phone, provide google photo default photovideo gallery, also phone cover safety purpose"
5.0,Perfect product!,Very good image quality 😁😍😍READ MORE,good image quality
5.0,Best in the market!,Sony lytia 700 Camera is superb 🔥 Processor is also good 🎮 UI have lot of customisation 📱 ✨ Battery 🔋 backup very good 💯 4k playback and recording is brilliant ⚡Best phone in segment Problem 😞:- No back coverREAD MORE,sony lytia 700 camera superb processor also good ui lot customisation battery backup good 4k playback recording brilliant best phone segment problem back cover
5.0,Just wow!,GoodREAD MORE,good
5.0,Simply awesome,Overall good phoneREAD MORE,overall good phone
5.0,Great product,Superb performance camera 🤳 and batteryREAD MORE,superb performance camera battery
5.0,Perfect product!,Can't describe the happinessREAD MORE,cant describe happiness
5.0,Wonderful,Premium In hand fill*good camera *super display*battery is long lasting*smooth and clean android experienceGo for it guys!READ MORE,premium hand fillgood camera super displaybattery long lastingsmooth clean android experiencego guys!
5.0,Terrific purchase,Camera quality is awesome specially portrait mode....Battery life is 8 hours on continuous 5g internet...Really impressed with the display the best thing in the mobile is display....Built quality is decent the only reason for saying decent is plastic frame.READ MORE,camera quality awesome specially portrait mode....battery life 8 hour continuous 5g internet...really impressed display best thing mobile display....built quality decent reason saying decent plastic frame
5.0,Highly recommended,The phone is massively under rated at this moment in mid range phone segment. Surely will reach greater heights wrt to its features in this price segment. A good allrounder phone to have in this price rangeREAD MORE,phone massively rated moment mid range phone segment. surely reach greater height wrt feature price segment. good allrounder phone price range
4.0,Value-for-money,Awesome phone in this budget.The camera is awesome.Battery backup is good.Display feels proNot recommended to gamersREAD MORE,awesome phone budget.the camera awesome.battery backup good.display feel pronot recommended gamers
5.0,Super!,"Excellent overall experience till now !!!!Battery, Camera quality, Screen Quality, Sound Quality... everything perfect...Pure stock android experience and no bloatwares, ads and no pre-installed apps is something I love in Motorola phones...❤️READ MORE","excellent overall experience till !!!!battery, camera quality, screen quality, sound quality... everything perfect...pure stock android experience bloatwares, ad preinstalled apps something love motorola phone"
5.0,Super!,"Better than expected, was waiting for this one for a long time now. Simply worth every penny.READ MORE","better expected, waiting one long time now. simply worth every penny"
5.0,Best in the market!,Awesome phoneREAD MORE,awesome phone
5.0,Must buy!,Super performance ...hellooooo motoREAD MORE,super performance ...hellooooo moto
4.0,Nice product,"1. No NFC. (Big flaw)2. No back case.3. No eSim option.4. Madam is notified when there is a Call recording happen. But, we can change to a beeb sound. However, I like my OnePlus 7 model that has Auto records without any notifications.No heating issues.Good design.Battery life is very good.READ MORE","1. nfc. big flaw2. back case.3. esim option.4. madam notified call recording happen. but, change beeb sound. however, like oneplus 7 model auto record without notifications.no heating issues.good design.battery life good"
5.0,Great product,"I AM POSTING THIS REVIEW AFTER 15 DAYS OF USE HIGHLY RECOMMENDED Best In class with this price Don't think too much if you want premium build, ultimate performance,suberb 4zone rgb,good cooling then go for it. performance is insane. I like this laptop at this price which is 71k(with card discounts) at big billion day sale.I played gta 5 valorant forza horizon game was buttery smooth  If you do lots of multitasking  this laptop is capable for that  I am highly satisfied with overall pa...READ MORE","posting review 15 day use highly recommended best class price dont think much want premium build, ultimate performance,suberb 4zone rgb,good cooling go it. performance insane. like laptop price 71kwith card discount big billion day sale.i played gta 5 valorant forza horizon game buttery smooth lot multitasking laptop capable highly satisfied overall pa"
5.0,Best Gaming Laptop at 75k!!!! BUT beware of EKART!,"This Laptop is one of the best budget-friendly gaming laptop that is currently available. The looks are just awesome and feel premium by touch (The RGB just kills it!!), the display is ok, could have been better but at this price, I am not complaining. In terms of performance, I will list some games and the avg FPS I was getting with their respective settings. Now, there are two things that I want to clear: a) No webcam. you don't get an external or inbuilt webcam with this laptop, This lapt...READ MORE","laptop one best budgetfriendly gaming laptop currently available. look awesome feel premium touch rgb kill it!!, display ok, could better price, complaining. term performance, list game avg fps getting respective settings. now, two thing want clear webcam. dont get external inbuilt webcam laptop, lapt"
5.0,Terrific purchase,"Mind blowing  purchase, worth every pennyREAD MORE","mind blowing purchase, worth every penny"
5.0,Classy product,"Great laptop for the price, i add 8gb ram (gekill ripjaws 3200mhz, density- RX8) and for those who were wondering what the density of the ram already present in the laptop is, its RX8 which is great . Once uprageded to 16 gb the laptop cab run almost all games at max settings at or above 60fps except some very demanding games like rdr2 and cyberpunk where u can get playable fps (45-50) with high +medium +ultra mix settings. I got 60 fps plus in max settings in forza horizon 4, witcher 3 and...READ MORE","great laptop price, add 8gb ram gekill ripjaws 3200mhz, density rx8 wondering density ram already present laptop is, rx8 great . uprageded 16 gb laptop cab run almost game max setting 60fps except demanding game like rdr2 cyberpunk u get playable fps 4550 high medium ultra mix settings. got 60 fps plus max setting forza horizon 4, witcher 3"
5.0,Brilliant,"Product was received in great condition. The build quality of the laptop is excellent. Feels really sturdy and it's got a real premium finish to it. Loving the eclipse gray color as well. Feels elegant yet powerful.Its got a 144Hz display. Ryzen 7 with RTX 3050 is a great combination.The track pad feels really good to the touch.The RGB too, is just beautiful. ❤Only con is that the laptop lacks a webcam. But other than that, everything else is perfect.READ MORE","product received great condition. build quality laptop excellent. feel really sturdy got real premium finish it. loving eclipse gray color well. feel elegant yet powerful.its got 144hz display. ryzen 7 rtx 3050 great combination.the track pad feel really good touch.the rgb too, beautiful. con laptop lack webcam. that, everything else perfect"
5.0,Just wow!,Nice design awesome performance 😍READ MORE,nice design awesome performance
5.0,Terrific purchase,Awesome laptopREAD MORE,awesome laptop
4.0,Really Nice,"Best laptop in this price range..! 🔥BUT PLEASE CHECK LAPTOP CAREFULLY WHILE YOU DELIVERED, I HAVE GOT AN FAN ISSUE WITH MY LAPTOP AND I REPLACED IT,VERY GOOD RESPONSE BY FLIPKART ❤️Performance : 10/10Display : 8/10Battery : 7/10Thermals : 9/10Value for money : 10/10 Ryzen 7 4800h is very powerful 🔥Rtx 3050 gives good performance with 95w TGPDisplay is good 144HZ Thermals doesn't reach above 90°,85 to 90 averageBattery is average,but its not a big issueREAD MORE","best laptop price range..! please check laptop carefully delivered, got fan issue laptop replaced it,very good response flipkart performance 1010display 810battery 710thermals 910value money 1010 ryzen 7 4800h powerful rtx 3050 give good performance 95w tgpdisplay good 144hz thermal doesnt reach 90,85 90 averagebattery average,but big issue"
5.0,Great product,Awesome Laptop At this price Can't say any cons about this productREAD MORE,awesome laptop price cant say con product
5.0,Worth every penny,Real beast in this price range 🔥READ MORE,real beast price range
5.0,Mind-blowing purchase,"This Laptop ASUS ROG Strix G15, I bought for my son who is learning Coding and gaming and he's so satisfied from my this gift to him. He admires that ASUS delivered whatever it committed at the time of purchase. He uses the laptop for 4-5 hrs continuously but it doesn't warms at all. The machine responds so well and fast while playing heavy games. Battery backup is also good, build quality is so fine, and the cosmetic looks like the Logo, the RGB lights, etc increases the confidence when use ...READ MORE","laptop asus rog strix g15, bought son learning coding gaming he satisfied gift him. admires asus delivered whatever committed time purchase. us laptop 45 hr continuously doesnt warms all. machine responds well fast playing heavy games. battery backup also good, build quality fine, cosmetic look like logo, rgb lights, etc increase confidence use"
4.0,Value-for-money,Just now received initial impression laptoplooks really cool and sturdy. Will post complete review in 15 daysREAD MORE,received initial impression laptoplooks really cool sturdy. post complete review 15 day
5.0,Best all purpose laptop with style :-),"Bought this product for 93500 only in Aug 2020.LEDs are great which can be configured by their AURA appLaptop configuration is high-end, specially at this price.There are so many variations that you can get with Asus ROG but are not yet available to buy. Electro punk color have extra pink color strip around the screen and touch pad.Model number for this laptop is G512LI (you can check detail spec on asus website)Laptop is little heavy & tough. Good built quality. Battery life is decen...READ MORE","bought product 93500 aug 2020.leds great configured aura applaptop configuration highend, specially price.there many variation get asus rog yet available buy. electro punk color extra pink color strip around screen touch pad.model number laptop g512li check detail spec asus websitelaptop little heavy tough. good built quality. battery life decen"
5.0,Best in the market!,Beast !! Awesome MACHINE by ASUSSUPERFAST POWERFULL STRONGREAD MORE,beast !! awesome machine asussuperfast powerfull strong
5.0,Brilliant,Got today looking fabulous. I will post complete review after 7 days of use.READ MORE,got today looking fabulous. post complete review 7 day use
5.0,Must buy!,"I love everything about the laptop the looks, performance, build quality, etc. Worth the price U should consider this if u have a budget of around 1LREAD MORE","love everything laptop looks, performance, build quality, etc. worth price u consider u budget around 1l"
4.0,Nice product,"1st Things 1st Product Is Genuine.I have never done big purchase from Flipkart like this so I was little bit afraid in the starting but after delivery I am Happy customer.The laptop's Performance is GOOD in normal use but I didn't use for gaming/ heavy work till now so didn't tell you about heavy use but I'm expecting would be Good. Display is Amazing. And battery life in normal use you can expect 5-6 hours in max cases.Over all performance ( normal use), display and battery life all are G...READ MORE","1st thing 1st product genuine.i never done big purchase flipkart like little bit afraid starting delivery happy customer.the laptop performance good normal use didnt use gaming heavy work till didnt tell heavy use im expecting would good. display amazing. battery life normal use expect 56 hour max cases.over performance normal use, display battery life g"
5.0,OMG product (i love it ),"amazing product. It is value for money. The keyboard is super nice. This machine makes you feel like you are working on a spaceship. The body is super nice. You guys may be thinking that the this machine is not worth it but trust me you guys will fall in love with it, especially its texture,.READ MORE","amazing product. value money. keyboard super nice. machine make feel like working spaceship. body super nice. guy may thinking machine worth trust guy fall love it, especially texture,"
5.0,Wonderful,My dream comes true and I started new gaming channel name is gpytgaming this enough for meREAD MORE,dream come true started new gaming channel name gpytgaming enough
5.0,Classy product,This is the beastREAD MORE,beast
5.0,Mind-blowing purchase,My first laptop and a gaming laptop too...Excellent design..i was just mesmerised at the first sight of it.🔥Not too heavy...plastic body compensates for the heavy machinery.Cooling system is nice. does not let the lappy go above 90 celsius while gaming or during heavy usage.Display is awesome..144hz refresh rate at this prize is a bonus.Sound quality is average.. not too good not too badThe RGB is love❤️...drains battery but is a cherry on the cake.Battery backup depends upon ur type ...READ MORE,first laptop gaming laptop too...excellent design..i mesmerised first sight it.not heavy...plastic body compensates heavy machinery.cooling system nice. let lappy go 90 celsius gaming heavy usage.display awesome..144hz refresh rate prize bonus.sound quality average.. good badthe rgb love...drains battery cherry cake.battery backup depends upon ur type
5.0,Great product,The Asus ROG Strix G15 offers just enough performance to justify its 144Hz refresh rate.1. Solid gaming performance2. RGB lighting is distinctive3. High refresh rate4. Good thermalsIn other wordsITS A BEAST LAPTOPREAD MORE,asus rog strix g15 offer enough performance justify 144hz refresh rate.1. solid gaming performance2. rgb lighting distinctive3. high refresh rate4. good thermalsin wordsits beast laptop
5.0,Excellent,"Performance : Amazing and it is very fast because of SDD. But I did feel that 512GB storage is not sufficient when you consider that you have to maintain some free space in C drive without utilising it to maintain fast responsiveness from the laptop.Memory : 8GB is really good and is going to be enough if you are casual gamer. However, if you love to play many games and work at the same time by keeping tabs or applications open the you might have to consider buying additional 8GB RAM. One m...READ MORE","performance amazing fast sdd. feel 512gb storage sufficient consider maintain free space c drive without utilising maintain fast responsiveness laptop.memory 8gb really good going enough casual gamer. however, love play many game work time keeping tab application open might consider buying additional 8gb ram. one"
5.0,Excellent,Most beautiful laptop ever.Nice battery Nice performance Nice speedREAD MORE,beautiful laptop ever.nice battery nice performance nice speed
5.0,Awesome,Supper ❤❤READ MORE,supper
5.0,Excellent,Beast laptop under budget and too smooth ❣️💝READ MORE,beast laptop budget smooth
5.0,Highly recommended,"I am very happy and totally satisfied with this laptop. Afterall it meets all of my expectations. I would definitely recommend this laptop under 80K range.Don't blindly compare specs only, what matters most is real ground performance. Hope you will make a good decision.READ MORE","happy totally satisfied laptop. afterall meet expectations. would definitely recommend laptop 80k range.dont blindly compare spec only, matter real ground performance. hope make good decision"
5.0,Perfect product!,Vlaue for moneyREAD MORE,vlaue money
5.0,Simply awesome,"Amazing display though minor screen bleeding issues, mostly non noticeable. Amazing buttersmooth performace, battery is little less, but you can't expect much from a gaming laptop.  Note: it feels a little heavy after 30 mins on your lap. And Don't think much go for it,READ MORE","amazing display though minor screen bleeding issues, mostly non noticeable. amazing buttersmooth performace, battery little less, cant expect much gaming laptop. note feel little heavy 30 min lap. dont think much go it,"
5.0,Simply awesome,"Nice performance only when it is plugged in to power supply. In battery mode game lags and stutters but it happens in every other gaming laptop.In this price range display quality is best(144hz) and style and built is very good. Stylish looks due to the LEDs around it.Battery backup isnt good.Every AAA titles can give 50-60 fps at max settings and ofc smooth gameplay. This is my first gaming and Asus laptop, quite impressive it is. COOLING (Thermals) are nicely managed using it for 2 day...READ MORE","nice performance plugged power supply. battery mode game lag stutter happens every gaming laptop.in price range display quality best144hz style built good. stylish look due led around it.battery backup isnt good.every aaa title give 5060 fps max setting ofc smooth gameplay. first gaming asus laptop, quite impressive is. cooling thermal nicely managed using 2 day"
3.0,Fair,"The performance ,design and RGB looks cool.. The one and only problem i faced was sometimes when you clicked the power button the laptop doesn't wake up😑 some times I need to tap many times tf😶READ MORE","performance ,design rgb look cool.. one problem faced sometimes clicked power button laptop doesnt wake time need tap many time tf"
5.0,Awesome,Very Good👍 product..READ MORE,good product
5.0,Terrific purchase,Value for money!READ MORE,value money!
5.0,Classy product,Used 1 week good so farREAD MORE,used 1 week good far
3.0,Does the job,Display isn't good at all kinda average and battery backup without gaming is 6 hrs and quite good Even In gaming sessions it's quite capable and heat deception quite good overall it's a great laptop and doesn't comes with numpadREAD MORE,display isnt good kinda average battery backup without gaming 6 hr quite good even gaming session quite capable heat deception quite good overall great laptop doesnt come numpad
5.0,Awesome,"Excellent product and awesome features , zoom is beyond comparisonExcellent display and good battery life. S pen is a master in it's own league.While sticking screen guards Kindly make sure glue doesn't leak to the speaker or S pen  modules as it may create an issue Inorder to avail the offerPlease go toAccountCouponsAll rewards and scroll downYou will get the offer mentioned and you can order the same if you are eligibleHappy purchasingREAD MORE","excellent product awesome feature , zoom beyond comparisonexcellent display good battery life. pen master league.while sticking screen guard kindly make sure glue doesnt leak speaker pen module may create issue inorder avail offerplease go toaccountcouponsall reward scroll downyou get offer mentioned order eligiblehappy purchasing"
5.0,Worth every penny,"I ordered the product during pre-book period, exchanging my old OP6.The product is great, the seller delivered in time. The exchange process with Flipkart was also great. After the return period I got my Galaxy buds 2 and Watch 4 classic as well.The camera quality is excellent, the battery life is great as well. I am getting around 10 hours SOT, and 24 hours total time in a full recharge.OneUI is one of the best Android experience you can get.Overall a great deal.READ MORE","ordered product prebook period, exchanging old op6.the product great, seller delivered time. exchange process flipkart also great. return period got galaxy bud 2 watch 4 classic well.the camera quality excellent, battery life great well. getting around 10 hour sot, 24 hour total time full recharge.oneui one best android experience get.overall great deal"
5.0,Brilliant,Great camera and best design.READ MORE,great camera best design
5.0,Brilliant,One of the best camera phone 🤳 📱#samsung galaxy s23 ultra 💯 🤞READ MORE,one best camera phone samsung galaxy s23 ultra
5.0,Fabulous!,"Wonderful , looks wise and specially feel like we have Mercedes car. Feels and touch never be explain it's feels. I hope you all understand what I mean ? in short wow 👌 wonderfulREAD MORE","wonderful , look wise specially feel like mercedes car. feel touch never explain feels. hope understand mean ? short wow wonderful"
5.0,Great product,Product is fantastic but please guide the buyers how to claim the watch and buds offerREAD MORE,product fantastic please guide buyer claim watch bud offer
5.0,Highly recommended,Fantastic mobile in all means. This is the best Android in market without doubt and I feel this is far better than latest iPhone in terms of quality and features.Noted my observations after 2 weeks of usagePros1) Fantastic camera with super zoom feature which can zoom and take snaps of high quality pics located far distance. Camera performance is outstanding in low light and you can capture high quality Raw pics also2) Display (2k plus) and sound quality is superb . You cannot this much q...READ MORE,fantastic mobile means. best android market without doubt feel far better latest iphone term quality features.noted observation 2 week usagepros1 fantastic camera super zoom feature zoom take snap high quality pic located far distance. camera performance outstanding low light capture high quality raw pic also2 display 2k plus sound quality superb . cannot much q
5.0,Best in the market!,The best of the best. S23 Ultra is the best phone in the world right now.READ MORE,best best. s23 ultra best phone world right
5.0,Brilliant,"I am thankful to almighty god to let me buy my first flagship dream device. This works like the smoothest butter I have ever seen. You throw anything on it, and it makes it work like a charm.READ MORE","thankful almighty god let buy first flagship dream device. work like smoothest butter ever seen. throw anything it, make work like charm"
5.0,Wonderful,Everything is good in the phone except some heating issues which also affects battery backupREAD MORE,everything good phone except heating issue also affect battery backup
5.0,Just wow!,Product is quite good but ignore the white colourREAD MORE,product quite good ignore white colour
5.0,Mind-blowing purchase,DEFINITELY YOU CAN GO FOR IT...NO REQUIRED CHECK OTHER COMMENTS...I USE 2 MONTHS NO ANYYYY KIND OF PROBLEM...WORTH IT...IT DESIGNREAD MORE,definitely go it...no required check comments...i use 2 month anyyyy kind problem...worth it...it design
5.0,Best in the market!,It's better than what I had. Almost no sound...Hope it last longREAD MORE,better had. almost sound...hope last long
5.0,Fabulous!,Smooth and Comfortable keyboardREAD MORE,smooth comfortable keyboard
3.0,Nice,"Don't buy, seller is a hoax. The Nano USB was missing andFlipkart didn't respond, seller not reachable. I lost Rs.700+because keyboard doesn't support other nano USB.Flipkart has lost credibility at least from me. I gave 3 starbecause otherwise they don't post my comment.READ MORE","dont buy, seller hoax. nano usb missing andflipkart didnt respond, seller reachable. lost rs.700because keyboard doesnt support nano usb.flipkart lost credibility least me. gave 3 starbecause otherwise dont post comment"
5.0,Awesome,Nice product. The keys are low noise soft-touch. mouse and keyboard working fine till now. Nice design. Like using the product.READ MORE,nice product. key low noise softtouch. mouse keyboard working fine till now. nice design. like using product
5.0,Great product,BestREAD MORE,best
5.0,Super!,Typing is very good and keys are soft and comfortableREAD MORE,typing good key soft comfortable
5.0,Wonderful,Good productREAD MORE,good product
3.0,Fair,The keyboard buttons should be even better. Rest of the things are fine. kimpaREAD MORE,keyboard button even better. rest thing fine. kimpa
5.0,Terrific purchase,Best product and value for money. It's colour looking so good from naked eye. And noise less keyboard and mouse.READ MORE,best product value money. colour looking good naked eye. noise less keyboard mouse
5.0,Perfect product!,Very niceREAD MORE,nice
5.0,Fabulous!,Zebronic Best Wireless Keyboard and Mouse k under Budget 👍READ MORE,zebronic best wireless keyboard mouse k budget
5.0,Fabulous!,GoodREAD MORE,good
4.0,Worth the money,Very nice product comfortable and very fastREAD MORE,nice product comfortable fast
4.0,Delightful,The product is decent.The keys are almost silent.But they should provide batteries in the boxREAD MORE,product decent.the key almost silent.but provide battery box
4.0,Nice product,in this price this is a value for money product i am satisfiedREAD MORE,price value money product satisfied
5.0,Terrific purchase,"Guys,I am glad to share my feedback on the Zebronics-200 Combo Pack, which includes a keyboard and a mouse.This product is excellent for its price range. I have used it on my laptop, and it works very smoothly. Furthermore, I also used it on my mobile phone by connecting it with an OTG adapter, and it worked great on mobile too. The packaging of the product is also very nice.Thanks to Flipkart.READ MORE","guys,i glad share feedback zebronics200 combo pack, includes keyboard mouse.this product excellent price range. used laptop, work smoothly. furthermore, also used mobile phone connecting otg adapter, worked great mobile too. packaging product also nice.thanks flipkart"
5.0,Worth every penny,"Worth it, mouse is almost noiseless and keyboard buttons are also good in response and touchJust loved the product and genuinely it is value for money.READ MORE","worth it, mouse almost noiseless keyboard button also good response touchjust loved product genuinely value money"
5.0,Terrific,"Good product at this price, smooth and noiseless mouse also handy.READ MORE","good product price, smooth noiseless mouse also handy"
4.0,Good quality product,Good productsREAD MORE,good product
4.0,Pretty good,Best productREAD MORE,best product
4.0,Good choice,"Nice product ,  after opening the package first I can't find  usb nano receiver in keyboard and I was panic  but after some time finally it found inside mouse, beside battery location Typing sound minimum and mouse also handy ( after 4 days of purchased)READ MORE","nice product , opening package first cant find usb nano receiver keyboard panic time finally found inside mouse, beside battery location typing sound minimum mouse also handy 4 day purchased"
4.0,Worth the money,goodREAD MORE,good
4.0,Delightful,NICE PRODUCT MOUSE IS SILENT AND FEEL PREMIUM ALSO KEYBOARD IS GOOD QUALLTYREAD MORE,nice product mouse silent feel premium also keyboard good quallty
4.0,Good choice,Quality is good user friendly best of this keyboard is no sound after pressing the key common USB for keyboard and mouse ..and negative part is that his mouse is small ...but it's good to purchaseREAD MORE,quality good user friendly best keyboard sound pressing key common usb keyboard mouse ..and negative part mouse small ...but good purchase
